"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
0.001276532071642578,3.656995058059692,-0.979888916015625,0.001276532105904863,3.656994955533528,-0.9798889047581435,6.0,0.0,2.0,3.786,3982048483610.0,448483610.0,-15.0,0.0,0.0,-1.0
0.002201932249590755,4.205380439758301,-0.9708887338638306,0.002201932346429466,4.205380623148522,-0.9708887505481213,5.0,2.0,3.0,4.316,3982048483615.0,448483615.0,-13.0,0.0,0.0,-1.0
0.004370532464236021,5.008259773254395,-0.9735075235366821,0.004370532434363875,5.008259982945335,-0.9735074944111316,4.0,4.0,5.0,5.102,3982048483619.0,448483619.0,-11.0,0.0,0.0,-1.0
0.005223238375037909,4.987823486328125,-0.7899940609931946,0.005223238344010376,4.987823385123995,-0.7899940484531659,16.0,6.0,6.0,5.05,3982048483624.0,448483624.0,-9.0,0.0,0.0,-1.0
0.006075243931263685,4.972652435302734,0.6105654239654541,0.006075244140931722,4.972652508567102,0.6105654104597888,12.0,7.0,7.0,5.01,3982048483626.0,448483626.0,7.0,1.0,1.0,28.0
0.006072818767279387,4.970667362213135,-0.6103217005729675,0.006072818893769674,4.97066741774532,-0.6103216717729786,22.0,8.0,7.0,5.008,3982048483628.0,448483628.0,-7.0,0.0,0.0,-1.0
0.006978107616305351,4.997698307037354,0.7915583848953247,0.006978107528343231,4.99769813177253,0.7915583931035682,61.0,9.0,8.0,5.06,3982048483631.0,448483631.0,9.0,0.0,0.0,-1.0
0.007839740253984928,4.990929126739502,-0.436650276184082,0.007839739828435967,4.990929280121116,-0.4366502711657674,31.0,10.0,9.0,5.01,3982048483633.0,448483633.0,-5.0,0.0,0.0,-1.0
0.007823782041668892,4.980770111083984,0.96816486120224,0.007823781944484845,4.980770184028214,0.9681648425405883,28.0,11.0,9.0,5.074,3982048483635.0,448483635.0,11.0,0.0,0.0,-1.0
0.008697252720594406,4.983153820037842,-0.2611564099788666,0.008697252905614634,4.983153788638443,-0.2611564216522897,50.0,12.0,10.0,4.99,3982048483638.0,448483638.0,-3.0,0.0,0.0,-1.0
0.009727406315505505,5.066714763641357,1.169745445251465,0.009727406440986151,5.066714999240501,1.169745482588098,122.0,13.0,11.0,5.2,3982048483640.0,448483640.0,13.0,0.0,0.0,-1.0
0.009563290514051914,4.981232166290283,-0.08694788813591003,0.009563290733668803,4.981232037166237,-0.08694788887054646,47.0,14.0,11.0,4.982,3982048483642.0,448483642.0,-1.0,0.0,0.0,-1.0
0.01175784319639206,5.613948822021484,1.504256248474121,0.01175784362304686,5.613948589602516,1.504256290135851,78.0,15.0,12.0,5.812,3982048483645.0,448483645.0,15.0,0.0,0.0,-1.0
0.01147663220763206,3.65311336517334,-0.9788536429405212,0.0114766321262121,3.653113447558842,-0.9788536285777334,6.0,0.0,18.0,3.782,3982048483665.0,448483665.0,-15.0,0.0,0.0,-1.0
0.01651839166879654,4.981214046478271,0.08694788813591003,0.01651839114006525,4.981213828714353,0.08694788887054646,70.0,1.0,19.0,4.982,3982048483668.0,448483668.0,1.0,0.0,0.0,-1.0
0.01395847089588642,4.209255695343018,-0.9717885255813599,0.01395847111571629,4.209255535829453,-0.9717885547654969,5.0,2.0,19.0,4.32,3982048483670.0,448483670.0,-13.0,0.0,0.0,-1.0
0.01736659184098244,4.975142002105713,0.2607377469539642,0.0173665923770984,4.975142031694827,0.2607377340023462,79.0,3.0,20.0,4.982,3982048483672.0,448483672.0,3.0,0.0,0.0,-1.0
0.01831302419304848,4.996448993682861,-0.9712178111076355,0.01831302333391211,4.996448803342957,-0.971217786466613,4.0,4.0,21.0,5.09,3982048483674.0,448483674.0,-11.0,0.0,0.0,-1.0
0.01917458511888981,4.993715286254883,-0.7909326553344727,0.01917458501751458,4.99371543744325,-0.7909326552434073,15.0,6.0,22.0,5.056,3982048483679.0,448483679.0,-9.0,0.0,0.0,-1.0
